"Wilayah Jawa Barat",2019,2020,2021
"Bogor",0.15,0.11,0.35
"Sukabumi",0.11,0.12,0.23
"Cianjur",0.11,0.27,0.46
"Bandung",0.28,0.17,0.34
"Garut",0.16,0.15,0.29
"Tasikmalaya",0.12,0.11,0.35
"Ciamis",0.14,0.16,0.15
"Kuningan",0.18,0.62,0.46
"Cirebon",0.26,0.24,0.47
"Majalengka",0.28,0.25,0.77
"Sumedang",0.21,0.42,0.46
"Indramayu",0.4,0.56,0.66
"Subang",0.34,0.25,0.5
"Purwakarta",0.28,0.2,0.3
"Karawang",0.24,0.25,0.29
"Bekasi",0.15,0.18,0.26
"Bandung Barat",0.33,0.25,0.32
"Pangandaran",0.16,0.28,0.27
"Kota Bogor",0.18,0.26,0.27
"Kota Sukabumi",0.32,0.22,0.36
"Kota Bandung",0.14,0.13,0.24
"Kota Cirebon",0.26,0.4,0.68
"Kota Bekasi",0.1,0.15,0.16
"Kota Depok",0.04,0.06,0.07
"Kota Cimahi",0.14,0.18,0.21
"Kota Tasikmalaya",0.53,0.39,0.69
"Kota Banjar",0.1,0.12,0.28