Kabupaten / Kota,2021,2022,2023
PROVINSI JAWA TENGAH,0.45,0.42,0.42
Kabupaten Cilacap,0.3,0.33,0.35
Kabupaten Banyumas,0.57,0.35,0.41
Kabupaten Purbalingga,0.41,0.48,0.58
Kabupaten Banjarnegara,0.79,0.48,0.56
Kabupaten Kebumen,0.88,1.02,0.75
Kabupaten Purworejo,0.28,0.24,0.43
Kabupaten Wonosobo,0.65,0.86,0.63
Kabupaten Magelang,0.35,0.41,0.41
Kabupaten Boyolali,0.38,0.2,0.18
Kabupaten Klaten,0.38,0.44,0.38
Kabupaten Sukoharjo,0.21,0.14,0.31
Kabupaten Wonogiri,0.34,0.29,0.25
Kabupaten Karanganyar,0.37,0.37,0.24
Kabupaten Sragen,0.6,0.47,0.54
Kabupaten Grobogan,0.37,0.45,0.28
Kabupaten Blora,0.4,0.42,0.25
Kabupaten Rembang,0.68,0.59,0.73
Kabupaten Pati,0.42,0.25,0.42
Kabupaten Kudus,0.27,0.19,0.22
Kabupaten Jepara,0.17,0.3,0.26
Kabupaten Demak,0.61,0.35,0.43
Kabupaten Semarang,0.18,0.22,0.16
Kabupaten Temanggung,0.39,0.19,0.17
Kabupaten Kendal,0.33,0.39,0.25
Kabupaten Batang,0.48,0.29,0.6
Kabupaten Pekalongan,0.39,0.43,0.31
Kabupaten Pemalang,0.77,0.57,0.6
Kabupaten Tegal,0.19,0.17,0.17
Kabupaten Brebes,0.74,0.66,0.87
Kota Magelang,0.15,0.06,0.12
Kota Surakarta,0.54,0.27,0.2
Kota Salatiga,0.19,0.15,0.17
Kota Semarang,0.14,0.11,0.1
Kota Pekalongan,0.41,0.17,0.21
Kota Tegal,0.24,0.28,0.13